AVL ID,Parameter Name,flespi Parameter Path,Data Type,Units,Description,Notes / Source
203,lls.value,lls.value,number,N/A,LLS (Liquid level sensor) fuel value,"flespi Teltonika protocol page, last retrieved 2025-11-28"
204,lls.temperature,lls.temperature,number,celsius,LLS (Liquid level sensor) fuel temperature,"flespi Teltonika protocol page, last retrieved 2025-11-28"
205,gsm.cellid,gsm.cellid,number,N/A,"Mobile network (GSM, 3G, 4G, LTE, 5G, ...) base station ID","flespi Teltonika protocol page, last retrieved 2025-11-28"
206,gsm.lac,gsm.lac,number,N/A,"Mobile network (GSM, 3G, 4G, LTE, 5G, ...) location area code","flespi Teltonika protocol page, last retrieved 2025-11-28"
207,rfid.code,rfid.code,string,N/A,Hexadecimal code of connected RFID,"flespi Teltonika protocol page, last retrieved 2025-11-28"
208,geofence.status,geofence.status,boolean,N/A,Geofence entered status,"flespi Teltonika protocol page, last retrieved 2025-11-28"
208,overspeeding.status,overspeeding.status,boolean,N/A,Overspeeding detected,"flespi Teltonika protocol page, last retrieved 2025-11-28"
208,ultrasonic.software.state.enum,ultrasonic.software.state.enum,number,N/A,"Indexed parameter showing Ultrasonic Fuel sensor software status. 0 - Normal, 1 - The system has just started, output measurement value, 2 - Gas delay count, 3 - The measured value is invalid, 4 - The stationary state, 5 - No data received for 50-60 seconds, 9 - sudden drop, 10 - sudden rise, 11 - delay time of the sudden drop, 12 - delay time of the sudden rise, 13 - The stationary state, maintain the liquid level height value outputu changed, 15 - sudden drop/rise on an tilt","flespi Teltonika protocol page, last retrieved 2025-11-28"
209,geofence.status,geofence.status,boolean,N/A,Geofence entered status,"flespi Teltonika protocol page, last retrieved 2025-11-28"
209,overspeeding.status,overspeeding.status,boolean,N/A,Overspeeding detected,"flespi Teltonika protocol page, last retrieved 2025-11-28"
209,ultrasonic.software.state.enum,ultrasonic.software.state.enum,number,N/A,"Indexed parameter showing Ultrasonic Fuel sensor software status. 0 - Normal, 1 - The system has just started, output measurement value, 2 - Gas delay count, 3 - The measured value is invalid, 4 - The stationary state, 5 - No data received for 50-60 seconds, 9 - sudden drop, 10 - sudden rise, 11 - delay time of the sudden drop, 12 - delay time of the sudden rise, 13 - The stationary state, maintain the liquid level height value outputu changed, 15 - sudden drop/rise on an tilt","flespi Teltonika protocol page, last retrieved 2025-11-28"
210,lls.value,lls.value,number,N/A,LLS (Liquid level sensor) fuel value,"flespi Teltonika protocol page, last retrieved 2025-11-28"
211,lls.temperature,lls.temperature,number,celsius,LLS (Liquid level sensor) fuel temperature,"flespi Teltonika protocol page, last retrieved 2025-11-28"
212,lls.value,lls.value,number,N/A,LLS (Liquid level sensor) fuel value,"flespi Teltonika protocol page, last retrieved 2025-11-28"
213,lls.temperature,lls.temperature,number,celsius,LLS (Liquid level sensor) fuel temperature,"flespi Teltonika protocol page, last retrieved 2025-11-28"
214,lls.value,lls.value,number,N/A,LLS (Liquid level sensor) fuel value,"flespi Teltonika protocol page, last retrieved 2025-11-28"
215,lls.temperature,lls.temperature,number,celsius,LLS (Liquid level sensor) fuel temperature,"flespi Teltonika protocol page, last retrieved 2025-11-28"
216,geofence.status,geofence.status,boolean,N/A,Geofence entered status,"flespi Teltonika protocol page, last retrieved 2025-11-28"
216,overspeeding.status,overspeeding.status,boolean,N/A,Overspeeding detected,"flespi Teltonika protocol page, last retrieved 2025-11-28"
216,vehicle.mileage,vehicle.mileage,number,km,Total calculated mileage,"flespi Teltonika protocol page, last retrieved 2025-11-28"
217,geofence.status,geofence.status,boolean,N/A,Geofence entered status,"flespi Teltonika protocol page, last retrieved 2025-11-28"
217,overspeeding.status,overspeeding.status,boolean,N/A,Overspeeding detected,"flespi Teltonika protocol page, last retrieved 2025-11-28"
217,rfid.code,rfid.code,string,N/A,Hexadecimal code of connected RFID,"flespi Teltonika protocol page, last retrieved 2025-11-28"
218,geofence.status,geofence.status,boolean,N/A,Geofence entered status,"flespi Teltonika protocol page, last retrieved 2025-11-28"
218,gsm.sim.imsi,gsm.sim.imsi,string,N/A,"IMSI of SIM card of the Mobile network (GSM, 3G, 4G, LTE, 5G, ...)","flespi Teltonika protocol page, last retrieved 2025-11-28"
218,overspeeding.status,overspeeding.status,boolean,N/A,Overspeeding detected,"flespi Teltonika protocol page, last retrieved 2025-11-28"
219,geofence.status,geofence.status,boolean,N/A,Geofence entered status,"flespi Teltonika protocol page, last retrieved 2025-11-28"
219,overspeeding.status,overspeeding.status,boolean,N/A,Overspeeding detected,"flespi Teltonika protocol page, last retrieved 2025-11-28"
220,geofence.status,geofence.status,boolean,N/A,Geofence entered status,"flespi Teltonika protocol page, last retrieved 2025-11-28"
220,overspeeding.status,overspeeding.status,boolean,N/A,Overspeeding detected,"flespi Teltonika protocol page, last retrieved 2025-11-28"
221,geofence.status,geofence.status,boolean,N/A,Geofence entered status,"flespi Teltonika protocol page, last retrieved 2025-11-28"
221,gsm.sim.iccid,gsm.sim.iccid,string,N/A,"Integrated Circuit Card Id of SIM card of the Mobile network (GSM, 3G, 4G, LTE, 5G, ...)","flespi Teltonika protocol page, last retrieved 2025-11-28"
221,overspeeding.status,overspeeding.status,boolean,N/A,Overspeeding detected,"flespi Teltonika protocol page, last retrieved 2025-11-28"
222,geofence.status,geofence.status,boolean,N/A,Geofence entered status,"flespi Teltonika protocol page, last retrieved 2025-11-28"
222,issuing.member.state.card,issuing.member.state.card,number,N/A,"Card Issuing Member State, NationNumeric as described in EEC 3821_85","flespi Teltonika protocol page, last retrieved 2025-11-28"
222,overspeeding.status,overspeeding.status,boolean,N/A,Overspeeding detected,"flespi Teltonika protocol page, last retrieved 2025-11-28"
223,geofence.status,geofence.status,boolean,N/A,Geofence entered status,"flespi Teltonika protocol page, last retrieved 2025-11-28"
223,issuing.member.state.card,issuing.member.state.card,number,N/A,"Card Issuing Member State, NationNumeric as described in EEC 3821_85","flespi Teltonika protocol page, last retrieved 2025-11-28"
223,overspeeding.status,overspeeding.status,boolean,N/A,Overspeeding detected,"flespi Teltonika protocol page, last retrieved 2025-11-28"
224,geofence.status,geofence.status,boolean,N/A,Geofence entered status,"flespi Teltonika protocol page, last retrieved 2025-11-28"
224,overspeeding.status,overspeeding.status,boolean,N/A,Overspeeding detected,"flespi Teltonika protocol page, last retrieved 2025-11-28"
224,ultrasonic.fuel.level,ultrasonic.fuel.level,number,mm,Indexed parameter for ultrasonic fuel level,"flespi Teltonika protocol page, last retrieved 2025-11-28"
225,geofence.status,geofence.status,boolean,N/A,Geofence entered status,"flespi Teltonika protocol page, last retrieved 2025-11-28"
225,overspeeding.status,overspeeding.status,boolean,N/A,Overspeeding detected,"flespi Teltonika protocol page, last retrieved 2025-11-28"
225,ultrasonic.fuel.level,ultrasonic.fuel.level,number,mm,Indexed parameter for ultrasonic fuel level,"flespi Teltonika protocol page, last retrieved 2025-11-28"
226,geofence.status,geofence.status,boolean,N/A,Geofence entered status,"flespi Teltonika protocol page, last retrieved 2025-11-28"
226,overspeeding.status,overspeeding.status,boolean,N/A,Overspeeding detected,"flespi Teltonika protocol page, last retrieved 2025-11-28"
227,geofence.status,geofence.status,boolean,N/A,Geofence entered status,"flespi Teltonika protocol page, last retrieved 2025-11-28"
227,overspeeding.status,overspeeding.status,boolean,N/A,Overspeeding detected,"flespi Teltonika protocol page, last retrieved 2025-11-28"
228,geofence.status,geofence.status,boolean,N/A,Geofence entered status,"flespi Teltonika protocol page, last retrieved 2025-11-28"
228,overspeeding.status,overspeeding.status,boolean,N/A,Overspeeding detected,"flespi Teltonika protocol page, last retrieved 2025-11-28"
229,fms.adblue.state.enum,fms.adblue.state.enum,number,N/A,"FMS AdBlue status: 0 - Off, 1 - Cond. Red, 2 - Cond. Yellow, 3 - Cond. info","flespi Teltonika protocol page, last retrieved 2025-11-28"
229,geofence.status,geofence.status,boolean,N/A,Geofence entered status,"flespi Teltonika protocol page, last retrieved 2025-11-28"
229,overspeeding.status,overspeeding.status,boolean,N/A,Overspeeding detected,"flespi Teltonika protocol page, last retrieved 2025-11-28"
230,geofence.status,geofence.status,boolean,N/A,Geofence entered status,"flespi Teltonika protocol page, last retrieved 2025-11-28"
230,gsm.sim.imsi,gsm.sim.imsi,string,N/A,"IMSI of SIM card of the Mobile network (GSM, 3G, 4G, LTE, 5G, ...)","flespi Teltonika protocol page, last retrieved 2025-11-28"
230,overspeeding.status,overspeeding.status,boolean,N/A,Overspeeding detected,"flespi Teltonika protocol page, last retrieved 2025-11-28"
231,geofence.status,geofence.status,boolean,N/A,Geofence entered status,"flespi Teltonika protocol page, last retrieved 2025-11-28"
231,gsm.sim.imsi,gsm.sim.imsi,string,N/A,"IMSI of SIM card of the Mobile network (GSM, 3G, 4G, LTE, 5G, ...)","flespi Teltonika protocol page, last retrieved 2025-11-28"
231,overspeeding.status,overspeeding.status,boolean,N/A,Overspeeding detected,"flespi Teltonika protocol page, last retrieved 2025-11-28"
231,vehicle.registration.number,vehicle.registration.number,string,N/A,Vehicle registration number,"flespi Teltonika protocol page, last retrieved 2025-11-28"
232,can.cng.status,can.cng.status,boolean,N/A,Compressed natural gas status read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
232,gsm.sim.status,gsm.sim.status,boolean,N/A,SIM card is active,"flespi Teltonika protocol page, last retrieved 2025-11-28"
232,vehicle.registration.number,vehicle.registration.number,string,N/A,Vehicle registration number,"flespi Teltonika protocol page, last retrieved 2025-11-28"
233,can.cng.consumed,can.cng.consumed,number,kg,Consumed of compressed natural gas read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
233,vehicle.vin,vehicle.vin,string,N/A,VIN of vehicle,"flespi Teltonika protocol page, last retrieved 2025-11-28"
234,can.cng.level,can.cng.level,number,percentage,Compressed natural gas level read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
234,vehicle.vin,vehicle.vin,string,N/A,VIN of vehicle,"flespi Teltonika protocol page, last retrieved 2025-11-28"
235,can.engine.oil.level,can.engine.oil.level,number,percentage,Engine oil level read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
235,vehicle.vin,vehicle.vin,string,N/A,VIN of vehicle,"flespi Teltonika protocol page, last retrieved 2025-11-28"
236,alarm.event,alarm.event,boolean,N/A,Alarm event triggered,"flespi Teltonika protocol page, last retrieved 2025-11-28"
236,x.acceleration,x.acceleration,number,g,Accelerometer value X,"flespi Teltonika protocol page, last retrieved 2025-11-28"
237,gsm.network.type,gsm.network.type,string,N/A,The type of the Mobile network the device is currently registered to,"flespi Teltonika protocol page, last retrieved 2025-11-28"
237,y.acceleration,y.acceleration,number,g,Accelerometer value Y,"flespi Teltonika protocol page, last retrieved 2025-11-28"
238,custom.user.id,custom.user.id,number,N/A,Custom number defined as User ID,"flespi Teltonika protocol page, last retrieved 2025-11-28"
238,z.acceleration,z.acceleration,number,g,Accelerometer value Z,"flespi Teltonika protocol page, last retrieved 2025-11-28"
239,engine.ignition.status,engine.ignition.status,boolean,N/A,Engine ignition or ACC status,"flespi Teltonika protocol page, last retrieved 2025-11-28"
240,movement.status,movement.status,boolean,N/A,Current movement state,"flespi Teltonika protocol page, last retrieved 2025-11-28"
241,gsm.mcc,gsm.mcc,number,N/A,"Mobile network (GSM, 3G, 4G, LTE, 5G, ...) country code","flespi Teltonika protocol page, last retrieved 2025-11-28"
241,gsm.mnc,gsm.mnc,number,N/A,"Mobile network (GSM, 3G, 4G, LTE, 5G, ...) code","flespi Teltonika protocol page, last retrieved 2025-11-28"
241,gsm.operator.code,gsm.operator.code,string,N/A,"Mobile network (GSM, 3G, 4G, LTE, 5G, ...) operator code, which is MCC joined with MNC","flespi Teltonika protocol page, last retrieved 2025-11-28"
242,mandown.alarm.status,mandown.alarm.status,boolean,N/A,Man down alarm activated,"flespi Teltonika protocol page, last retrieved 2025-11-28"
243,eco.driving.event.duration,eco.driving.event.duration,number,seconds,Duration of event that did generate Green driving,"flespi Teltonika protocol page, last retrieved 2025-11-28"
243,idle.status,idle.status,boolean,N/A,Vehicle is in idling state,"flespi Teltonika protocol page, last retrieved 2025-11-28"
245,ain,ain,number,volts,Voltage on the analog input,"flespi Teltonika protocol page, last retrieved 2025-11-28"
246,towing.alarm.status,towing.alarm.status,boolean,N/A,Towing alarm state,"flespi Teltonika protocol page, last retrieved 2025-11-28"
247,crash.event,crash.event,boolean,N/A,Crash event detected,"flespi Teltonika protocol page, last retrieved 2025-11-28"
247,crash.event.enum,crash.event.enum,number,N/A,Crash report reason code,"flespi Teltonika protocol page, last retrieved 2025-11-28"
248,geofence.overspeeding.status,geofence.overspeeding.status,boolean,N/A,Geofence overspeeding status,"flespi Teltonika protocol page, last retrieved 2025-11-28"
248,ibutton.authorized.status,ibutton.authorized.status,boolean,N/A,iButton authorized status,"flespi Teltonika protocol page, last retrieved 2025-11-28"
248,ibutton.connected.status,ibutton.connected.status,boolean,N/A,iButton connection status,"flespi Teltonika protocol page, last retrieved 2025-11-28"
248,immobilizer.state.enum,immobilizer.state.enum,number,N/A,Immobilizer state number,"flespi Teltonika protocol page, last retrieved 2025-11-28"
249,gsm.jamming.alarm.status,gsm.jamming.alarm.status,boolean,N/A,"Alarm status for the Mobile network (GSM, 3G, 4G, LTE, 5G, ...) jamming","flespi Teltonika protocol page, last retrieved 2025-11-28"
250,private.status,private.status,boolean,N/A,Device is in private mode,"flespi Teltonika protocol page, last retrieved 2025-11-28"
250,trip.state.enum,trip.state.enum,number,N/A,Trip status,"flespi Teltonika protocol page, last retrieved 2025-11-28"
250,trip.status,trip.status,boolean,N/A,"Trip status, true if trip started, false - if stopped","flespi Teltonika protocol page, last retrieved 2025-11-28"
251,ibutton.authorized.status,ibutton.authorized.status,boolean,N/A,iButton authorized status,"flespi Teltonika protocol page, last retrieved 2025-11-28"
251,ibutton.connected.status,ibutton.connected.status,boolean,N/A,iButton connection status,"flespi Teltonika protocol page, last retrieved 2025-11-28"
251,idle.status,idle.status,boolean,N/A,Vehicle is in idling state,"flespi Teltonika protocol page, last retrieved 2025-11-28"
251,immobilizer.state,immobilizer.state,string,N/A,Immobilizer state,"flespi Teltonika protocol page, last retrieved 2025-11-28"
251,immobilizer.state.enum,immobilizer.state.enum,number,N/A,Immobilizer state number,"flespi Teltonika protocol page, last retrieved 2025-11-28"
252,external.powersource.status,external.powersource.status,boolean,N/A,External power source connection status,"flespi Teltonika protocol page, last retrieved 2025-11-28"
252,ibutton.authorized.state.enum,ibutton.authorized.state.enum,number,N/A,iButton authorization state code,"flespi Teltonika protocol page, last retrieved 2025-11-28"
252,ibutton.authorized.status,ibutton.authorized.status,boolean,N/A,iButton authorized status,"flespi Teltonika protocol page, last retrieved 2025-11-28"
253,harsh.acceleration.event,harsh.acceleration.event,boolean,N/A,Harsh acceleration detected,"flespi Teltonika protocol page, last retrieved 2025-11-28"
253,harsh.braking.event,harsh.braking.event,boolean,N/A,Harsh braking detected,"flespi Teltonika protocol page, last retrieved 2025-11-28"
253,harsh.cornering.event,harsh.cornering.event,boolean,N/A,Harsh cornering detected,"flespi Teltonika protocol page, last retrieved 2025-11-28"
254,absolute.acceleration,absolute.acceleration,number,g,Module of accelerometer vector,"flespi Teltonika protocol page, last retrieved 2025-11-28"
254,harsh.cornering.angle,harsh.cornering.angle,number,degrees,Harsh cornering angle,"flespi Teltonika protocol page, last retrieved 2025-11-28"
255,overspeeding.speed,overspeeding.speed,number,km/h,GNSS based speed when overspeeding event is triggered,"flespi Teltonika protocol page, last retrieved 2025-11-28"
255,overspeeding.status,overspeeding.status,boolean,N/A,Overspeeding detected,"flespi Teltonika protocol page, last retrieved 2025-11-28"
256,vehicle.vin,vehicle.vin,string,N/A,VIN of vehicle,"flespi Teltonika protocol page, last retrieved 2025-11-28"
257,acceleration.array,acceleration.array,array,g,"Array of objects with acceleration data by x, y, and z axis","flespi Teltonika protocol page, last retrieved 2025-11-28"
258,max.x.acceleration,max.x.acceleration,number,g,Harsh acceleration event max accelerometer value on X-axis,"flespi Teltonika protocol page, last retrieved 2025-11-28"
258,max.y.acceleration,max.y.acceleration,number,g,Harsh acceleration event max accelerometer value on Y-axis,"flespi Teltonika protocol page, last retrieved 2025-11-28"
258,max.z.acceleration,max.z.acceleration,number,g,Harsh acceleration event max accelerometer value on Z-axis,"flespi Teltonika protocol page, last retrieved 2025-11-28"
259,average.x.acceleration,average.x.acceleration,number,g,Harsh acceleration event average accelerometer value on X-axis,"flespi Teltonika protocol page, last retrieved 2025-11-28"
259,average.y.acceleration,average.y.acceleration,number,g,Harsh acceleration event average accelerometer value on Y-axis,"flespi Teltonika protocol page, last retrieved 2025-11-28"
259,average.z.acceleration,average.z.acceleration,number,g,Harsh acceleration event average accelerometer value on Z-axis,"flespi Teltonika protocol page, last retrieved 2025-11-28"
260,eco.driving.event.duration,eco.driving.event.duration,number,seconds,Duration of event that did generate Green driving,"flespi Teltonika protocol page, last retrieved 2025-11-28"
262,din,din,number,N/A,Digital inputs bitmask,"flespi Teltonika protocol page, last retrieved 2025-11-28"
263,bluetooth.state.enum,bluetooth.state.enum,number,N/A,"Bluetooth state: 0 - BT is disabled; 1 - BT Enabled, not device connected; 2 - Device connected, BTv3 Only; 3 - Device connected, BLE only; 4 - Device connected, BLE + BT","flespi Teltonika protocol page, last retrieved 2025-11-28"
264,barcode.id,barcode.id,string,N/A,Barcode ID,"flespi Teltonika protocol page, last retrieved 2025-11-28"
269,escort.lls.temperature,escort.lls.temperature,number,celsius,Escort LLS Temperature,"flespi Teltonika protocol page, last retrieved 2025-11-28"
270,escort.lls.value,escort.lls.value,number,N/A,Escort LLS fuel level,"flespi Teltonika protocol page, last retrieved 2025-11-28"
271,escort.lls.battery.voltage,escort.lls.battery.voltage,number,celsius,Escort LLS Temperature,"flespi Teltonika protocol page, last retrieved 2025-11-28"
272,escort.lls.temperature,escort.lls.temperature,number,celsius,Escort LLS Temperature,"flespi Teltonika protocol page, last retrieved 2025-11-28"
273,escort.lls.value,escort.lls.value,number,N/A,Escort LLS fuel level,"flespi Teltonika protocol page, last retrieved 2025-11-28"
274,escort.lls.battery.voltage,escort.lls.battery.voltage,number,celsius,Escort LLS Temperature,"flespi Teltonika protocol page, last retrieved 2025-11-28"
275,escort.lls.temperature,escort.lls.temperature,number,celsius,Escort LLS Temperature,"flespi Teltonika protocol page, last retrieved 2025-11-28"
276,escort.lls.value,escort.lls.value,number,N/A,Escort LLS fuel level,"flespi Teltonika protocol page, last retrieved 2025-11-28"
277,escort.lls.battery.voltage,escort.lls.battery.voltage,number,celsius,Escort LLS Temperature,"flespi Teltonika protocol page, last retrieved 2025-11-28"
278,escort.lls.temperature,escort.lls.temperature,number,celsius,Escort LLS Temperature,"flespi Teltonika protocol page, last retrieved 2025-11-28"
279,escort.lls.value,escort.lls.value,number,N/A,Escort LLS fuel level,"flespi Teltonika protocol page, last retrieved 2025-11-28"
280,escort.lls.battery.voltage,escort.lls.battery.voltage,number,celsius,Escort LLS Temperature,"flespi Teltonika protocol page, last retrieved 2025-11-28"
281,can.dtc,can.dtc,array,N/A,"Diagnostic trouble code array read from CAN May content list of OBDII codes or list of objects with codes. Standard object parameter names used: *standard* - Protocol standard (J1939, J1708(J1587), OBDII) *mid* - Message Identifier (J1708) *sid* - Subsystem Identifier (J1708) *fmi* - Failure Mode Identifier (J1939, J1708) *spn* - Suspect Parameter Number (J1939) *sa* - Source Address (J1939, OBDII) *oc* - Occurrence Count (J1939) *cm* - Conversion Method (J1939) *status* - Status of error code (active, pending, historical, permanent)","flespi Teltonika protocol page, last retrieved 2025-11-28"
282,can.dtc,can.dtc,array,N/A,"Diagnostic trouble code array read from CAN May content list of OBDII codes or list of objects with codes. Standard object parameter names used: *standard* - Protocol standard (J1939, J1708(J1587), OBDII) *mid* - Message Identifier (J1708) *sid* - Subsystem Identifier (J1708) *fmi* - Failure Mode Identifier (J1939, J1708) *spn* - Suspect Parameter Number (J1939) *sa* - Source Address (J1939, OBDII) *oc* - Occurrence Count (J1939) *cm* - Conversion Method (J1939) *status* - Status of error code (active, pending, historical, permanent)","flespi Teltonika protocol page, last retrieved 2025-11-28"
286,gsm.signal.dbm,gsm.signal.dbm,number,dbm,"Strength of the Mobile network (GSM, 3G, 4G, LTE, 5G, ...) signal","flespi Teltonika protocol page, last retrieved 2025-11-28"
287,gsm.lac,gsm.lac,number,N/A,"Mobile network (GSM, 3G, 4G, LTE, 5G, ...) location area code","flespi Teltonika protocol page, last retrieved 2025-11-28"
288,gsm.cellid,gsm.cellid,number,N/A,"Mobile network (GSM, 3G, 4G, LTE, 5G, ...) base station ID","flespi Teltonika protocol page, last retrieved 2025-11-28"
288,mobileye.sound.type,mobileye.sound.type,number,N/A,Mobileye sound type,"flespi Teltonika protocol page, last retrieved 2025-11-28"
289,gsm.signal.dbm,gsm.signal.dbm,number,dbm,"Strength of the Mobile network (GSM, 3G, 4G, LTE, 5G, ...) signal","flespi Teltonika protocol page, last retrieved 2025-11-28"
289,mobileye.pedestrian.danger.zone.status,mobileye.pedestrian.danger.zone.status,boolean,N/A,Mobileye indicator of pedestrians in danger zone,"flespi Teltonika protocol page, last retrieved 2025-11-28"
290,gsm.lac,gsm.lac,number,N/A,"Mobile network (GSM, 3G, 4G, LTE, 5G, ...) location area code","flespi Teltonika protocol page, last retrieved 2025-11-28"
290,mobileye.pedestrian.collision.warning.status,mobileye.pedestrian.collision.warning.status,boolean,N/A,Mobileye indicator of pedestrians collision warning,"flespi Teltonika protocol page, last retrieved 2025-11-28"
291,gsm.cellid,gsm.cellid,number,N/A,"Mobile network (GSM, 3G, 4G, LTE, 5G, ...) base station ID","flespi Teltonika protocol page, last retrieved 2025-11-28"
291,mobileye.dusk.status,mobileye.dusk.status,boolean,N/A,Mobileye dusk time indicator,"flespi Teltonika protocol page, last retrieved 2025-11-28"
291,mobileye.night.status,mobileye.night.status,boolean,N/A,Mobileye night time indicator,"flespi Teltonika protocol page, last retrieved 2025-11-28"
292,gsm.signal.dbm,gsm.signal.dbm,number,dbm,"Strength of the Mobile network (GSM, 3G, 4G, LTE, 5G, ...) signal","flespi Teltonika protocol page, last retrieved 2025-11-28"
292,mobileye.error.valid.status,mobileye.error.valid.status,boolean,N/A,Mobileye error is valid status,"flespi Teltonika protocol page, last retrieved 2025-11-28"
293,gsm.lac,gsm.lac,number,N/A,"Mobile network (GSM, 3G, 4G, LTE, 5G, ...) location area code","flespi Teltonika protocol page, last retrieved 2025-11-28"
293,mobileye.error.code,mobileye.error.code,number,N/A,Mobileye error code,"flespi Teltonika protocol page, last retrieved 2025-11-28"
294,gsm.cellid,gsm.cellid,number,N/A,"Mobile network (GSM, 3G, 4G, LTE, 5G, ...) base station ID","flespi Teltonika protocol page, last retrieved 2025-11-28"
294,mobileye.movement.status,mobileye.movement.status,boolean,N/A,Mobileye host vehicle is moving status,"flespi Teltonika protocol page, last retrieved 2025-11-28"
295,gsm.signal.dbm,gsm.signal.dbm,number,dbm,"Strength of the Mobile network (GSM, 3G, 4G, LTE, 5G, ...) signal","flespi Teltonika protocol page, last retrieved 2025-11-28"
295,mobileye.headway.valid.status,mobileye.headway.valid.status,boolean,N/A,Mobileye headway valid status,"flespi Teltonika protocol page, last retrieved 2025-11-28"
296,gsm.lac,gsm.lac,number,N/A,"Mobile network (GSM, 3G, 4G, LTE, 5G, ...) location area code","flespi Teltonika protocol page, last retrieved 2025-11-28"
296,mobileye.headway.measurement,mobileye.headway.measurement,number,seconds,"Mobileye headway measurement, 0 means no closest in-path vehicle on the range","flespi Teltonika protocol page, last retrieved 2025-11-28"
297,gsm.cellid,gsm.cellid,number,N/A,"Mobile network (GSM, 3G, 4G, LTE, 5G, ...) base station ID","flespi Teltonika protocol page, last retrieved 2025-11-28"
297,mobileye.lane.departure.warnings.status,mobileye.lane.departure.warnings.status,boolean,N/A,"Mobileye lane departure warnings status, true - wanrings enabled, false - warnings disabled due to low speed or configuration","flespi Teltonika protocol page, last retrieved 2025-11-28"
298,gsm.signal.dbm,gsm.signal.dbm,number,dbm,"Strength of the Mobile network (GSM, 3G, 4G, LTE, 5G, ...) signal","flespi Teltonika protocol page, last retrieved 2025-11-28"
298,mobileye.lane.departure.left.warning.status,mobileye.lane.departure.left.warning.status,boolean,N/A,Mobileye indicator of left lane departure warning event status,"flespi Teltonika protocol page, last retrieved 2025-11-28"
299,mobileye.lane.departure.right.warning.status,mobileye.lane.departure.right.warning.status,boolean,N/A,Mobileye indicator of right lane departure warning event status,"flespi Teltonika protocol page, last retrieved 2025-11-28"
300,mobileye.internal.error.status,mobileye.internal.error.status,boolean,N/A,Mobileye indicator of internal error. See user manual for details,"flespi Teltonika protocol page, last retrieved 2025-11-28"
301,mobileye.failsafe.mode.status,mobileye.failsafe.mode.status,boolean,N/A,Mobileye indocator of failsafe mode activation,"flespi Teltonika protocol page, last retrieved 2025-11-28"
302,mobileye.forward.collision.warning.status,mobileye.forward.collision.warning.status,boolean,N/A,Mobileye indicator of forward collision warning event status,"flespi Teltonika protocol page, last retrieved 2025-11-28"
303,instant.movement.status,instant.movement.status,boolean,N/A,Instant movement status,"flespi Teltonika protocol page, last retrieved 2025-11-28"
303,mobileye.traffic.signs.recognition.status,mobileye.traffic.signs.recognition.status,boolean,N/A,Mobileye traffic signs recognition enabled status,"flespi Teltonika protocol page, last retrieved 2025-11-28"
304,can.vehicle.battery.range,can.vehicle.battery.range,number,km,"Vehicle Range on Battery, read from CAN","flespi Teltonika protocol page, last retrieved 2025-11-28"
304,mobileye.headway.warning.repeat.enabled.status,mobileye.headway.warning.repeat.enabled.status,boolean,N/A,Mobileye headway warning repeat enabled status,"flespi Teltonika protocol page, last retrieved 2025-11-28"
305,can.vehicle.remaining.range,can.vehicle.remaining.range,number,km,"Vehicle Range read, from CAN","flespi Teltonika protocol page, last retrieved 2025-11-28"
305,mobileye.headway.warning.level,mobileye.headway.warning.level,number,N/A,Mobileye headway warning level,"flespi Teltonika protocol page, last retrieved 2025-11-28"
306,ble.sensor.frequency,ble.sensor.frequency,number,N/A,Indexed BLE frequency sensor value,"flespi Teltonika protocol page, last retrieved 2025-11-28"
306,mobileye.traffic.signs.speed.warning.level,mobileye.traffic.signs.speed.warning.level,number,N/A,Mobileye traffic signs recongition system's warning level,"flespi Teltonika protocol page, last retrieved 2025-11-28"
307,ble.sensor.frequency,ble.sensor.frequency,number,N/A,Indexed BLE frequency sensor value,"flespi Teltonika protocol page, last retrieved 2025-11-28"
307,mobileye.tamper.status,mobileye.tamper.status,boolean,N/A,Mobileye indicator of tamper alert (tamper alert is activated if there is no vehicle or lane detection for duration of 10 minutes; tamper alert is active above 15 km/h,"flespi Teltonika protocol page, last retrieved 2025-11-28"
308,ble.sensor.frequency,ble.sensor.frequency,number,N/A,Indexed BLE frequency sensor value,"flespi Teltonika protocol page, last retrieved 2025-11-28"
308,mobileye.high.beam.status,mobileye.high.beam.status,boolean,N/A,"Mobileye high beam status, true - high beam on, false - high beam off","flespi Teltonika protocol page, last retrieved 2025-11-28"
309,ble.sensor.frequency,ble.sensor.frequency,number,N/A,Indexed BLE frequency sensor value,"flespi Teltonika protocol page, last retrieved 2025-11-28"
309,mobileye.low.beam.status,mobileye.low.beam.status,boolean,N/A,"Mobileye low beam status, true - low beam on, false - low beam off","flespi Teltonika protocol page, last retrieved 2025-11-28"
310,mobileye.wipers.status,mobileye.wipers.status,boolean,N/A,"Mobileye wipers status, true - wiper passes the windshield, false - wiper is static","flespi Teltonika protocol page, last retrieved 2025-11-28"
310,movement.event,movement.event,boolean,N/A,Movement detected,"flespi Teltonika protocol page, last retrieved 2025-11-28"
311,mobileye.right.blink.available.status,mobileye.right.blink.available.status,boolean,N/A,"Mobileye right blink available status, true - right blink available, false - right blink not available","flespi Teltonika protocol page, last retrieved 2025-11-28"
