Property ID in AVL packet,Property Name,Bytes,Type,Value range Min,Value range Max,Multiplier,Units,Description,HW Support,Parameter Group
10810,EYE Magnet 3,1,Unsigned,0,1,,,Magnet measured by EYE Sensor by EYE Sensor 3,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910,Permanent I/O elements
10811,EYE Magnet 4,1,Unsigned,0,1,,,Magnet measured by EYE Sensor by EYE Sensor 4,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910,Permanent I/O elements
10812,EYE Movement 1,1,Unsigned,0,1,,,Movement state measure by EYE Sensor 1,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910,Permanent I/O elements
10813,EYE Movement 2,1,Unsigned,0,1,,,Movement state measure by EYE Sensor 2,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910,Permanent I/O elements
10814,EYE Movement 3,1,Unsigned,0,1,,,Movement state measure by EYE Sensor 3,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910,Permanent I/O elements
10815,EYE Movement 4,1,Unsigned,0,1,,,Movement state measure by EYE Sensor 4,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910,Permanent I/O elements
10816,EYE Pitch 1,1,Signed,-90,90,,,Pitch angle measured by EYE Sensor 1,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910,Permanent I/O elements
10817,EYE Pitch 2,1,Signed,-90,90,,,Pitch angle measured by EYE Sensor 2,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910,Permanent I/O elements
10818,EYE Pitch 3,1,Signed,-90,90,,,Pitch angle measured by EYE Sensor 3,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910,Permanent I/O elements
10819,EYE Pitch 4,1,Signed,-90,90,,,Pitch angle measured by EYE Sensor 4,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910,Permanent I/O elements
10820,EYE Low Battery 1,1,Unsigned,0,1,,,Low Battery indication for EYE Sensor 1,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910,Permanent I/O elements
10821,EYE Low Battery 2,1,Unsigned,0,1,,,Low Battery indication for EYE Sensor 2,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910,Permanent I/O elements
10822,EYE Low Battery 3,1,Unsigned,0,1,,,Low Battery indication for EYE Sensor 3,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910,Permanent I/O elements
10823,EYE Low Battery 4,1,Unsigned,0,1,,,Low Battery indication for EYE Sensor 4,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910,Permanent I/O elements
10824,EYE Battery Voltage 1,2,Unsigned,0,65535,,,Battery Voltage of EYE Sensor 1,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910,Permanent I/O elements
10825,EYE Battery Voltage 2,2,Unsigned,0,65535,,,Battery Voltage of EYE Sensor 2,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910,Permanent I/O elements
10826,EYE Battery Voltage 3,2,Unsigned,0,65535,,,Battery Voltage of EYE Sensor 3,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910,Permanent I/O elements
10827,EYE Battery Voltage 4,2,Unsigned,0,65535,,,Battery Voltage of EYE Sensor 4,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910,Permanent I/O elements
10832,EYE Roll 1,2,Signed,-180,180,,,Roll angle measured by EYE Sensor 1,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910,Permanent I/O elements
10833,EYE Roll 2,2,Signed,-180,180,,,Roll angle measured by EYE Sensor 2,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910,Permanent I/O elements
10834,EYE Roll 3,2,Signed,-180,180,,,Roll angle measured by EYE Sensor 3,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910,Permanent I/O elements
10835,EYE Roll 4,2,Signed,-180,180,,,Roll angle measured by EYE Sensor 4,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910,Permanent I/O elements
10836,EYE Movement count 1,2,Unsigned,0,32767,,,Movement count measure by EYE Sensor 1,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910,Permanent I/O elements
10837,EYE Movement count 2,2,Unsigned,0,32767,,,Movement count measure by EYE Sensor 2,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910,Permanent I/O elements
10838,EYE Movement count 3,2,Unsigned,0,32767,,,Movement count measure by EYE Sensor 3,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910,Permanent I/O elements
10839,EYE Movement count 4,2,Unsigned,0,32767,,,Movement count measure by EYE Sensor 4,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910,Permanent I/O elements
10840,EYE Magnet count 1,2,Unsigned,0,65535,,,Magnet trigger count measure by EYE Sensor 1,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910,Permanent I/O elements
10841,EYE Magnet count 2,2,Unsigned,0,65535,,,Magnet trigger count measure by EYE Sensor 2,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910,Permanent I/O elements
10842,EYE Magnet count 3,2,Unsigned,0,65535,,,Magnet trigger count measure by EYE Sensor 3,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910,Permanent I/O elements
10843,EYE Magnet count 4,2,Unsigned,0,65535,,,Magnet trigger count measure by EYE Sensor 4,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910,Permanent I/O elements
383,AXL Calibration Status,1,Unsigned,0,3,,,"Shows calibration status: 0- no calibration, 1- calibrated, 2- not configured, 3- fully calibrated",FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FMB202 FMB204 FMB206 FMB207 FMB208 FMB209 FMT100 MTB100 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 FMB910 FMC800 FMM800 FMC880 FMM880 FMM80A,Permanent I/O elements
451,BLE RFID #1,8,HEX,0,0xffffffffffffffff,,,BLE NBL-T RFID ID for Connetionless mode #1 slot,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMB208 FMB209 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910 FMP100 FMP1M1 MSP500 FMC800 FMM800 FMC880 FMM880 FMM80A FMB150 FMC150 FMM150,Permanent I/O elements
452,BLE RFID #2,8,HEX,0,0xffffffffffffffff,,,BLE NBL-T RFID ID for Connetionless mode #2 slot,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMB208 FMB209 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910 FMP100 FMP1M1 MSP500 FMC800 FMM800 FMC880 FMM880 FMM80A FMB150 FMC150 FMM150,Permanent I/O elements
453,BLE RFID #3,8,HEX,0,0xffffffffffffffff,,,BLE NBL-T RFID ID for Connetionless mode #3 slot,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMB208 FMB209 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910 FMP100 FMP1M1 MSP500 FMC800 FMM800 FMC880 FMM880 FMM80A FMB150 FMC150 FMM150,Permanent I/O elements
454,BLE RFID #4,8,HEX,0,0xffffffffffffffff,,,BLE NBL-T RFID ID for Connetionless mode #4 slot,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMB208 FMB209 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910 FMP100 FMP1M1 MSP500 FMC800 FMM800 FMC880 FMM880 FMM80A FMB150 FMC150 FMM150,Permanent I/O elements
455,BLE Button 1 state #1,1,Unsigned,0,1,,,BLE NBL-T Button 1 status for Connetionless mode #1 slot,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMB208 FMB209 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910 FMP100 FMP1M1 MSP500 FMC800 FMM800 FMC880 FMM880 FMM80A FMB150 FMC150 FMM150,Permanent I/O elements
456,BLE Button 1 state #2,1,Unsigned,0,1,,,BLE NBL-T Button 1 status for Connetionless mode #2 slot,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMB208 FMB209 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910 FMP100 FMP1M1 MSP500 FMC800 FMM800 FMC880 FMM880 FMM80A FMB150 FMC150 FMM150,Permanent I/O elements
457,BLE Button 1 state #3,1,Unsigned,0,1,,,BLE NBL-T Button 1 status for Connetionless mode #3 slot,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMB208 FMB209 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910 FMP100 FMP1M1 MSP500 FMC800 FMM800 FMC880 FMM880 FMM80A FMB150 FMC150 FMM150,Permanent I/O elements
458,BLE Button 1 state #4,1,Unsigned,0,1,,,BLE NBL-T Button 1 status for Connetionless mode #4 slot,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMB208 FMB209 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910 FMP100 FMP1M1 MSP500 FMC800 FMM800 FMC880 FMM880 FMM80A FMB150 FMC150 FMM150,Permanent I/O elements
459,BLE Button 2 state #1,1,Unsigned,0,1,,,BLE NBL-T Button 2 status for Connetionless mode #1 slot,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMB208 FMB209 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910 FMP100 FMP1M1 MSP500 FMC800 FMM800 FMC880 FMM880 FMM80A FMB150 FMC150 FMM150,Permanent I/O elements
460,BLE Button 2 state #2,1,Unsigned,0,1,,,BLE NBL-T Button 2 status for Connetionless mode #2 slot,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMB208 FMB209 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910 FMP100 FMP1M1 MSP500 FMC800 FMM800 FMC880 FMM880 FMM80A FMB150 FMC150 FMM150,Permanent I/O elements
461,BLE Button 2 state #3,1,Unsigned,0,1,,,BLE NBL-T Button 2 status for Connetionless mode #3 slot,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMB208 FMB209 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910 FMP100 FMP1M1 MSP500 FMC800 FMM800 FMC880 FMM880 FMM80A FMB150 FMC150 FMM150,Permanent I/O elements
462,BLE Button 2 state #4,1,Unsigned,0,1,,,BLE NBL-T Button 2 status for Connetionless mode #4 slot,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMB208 FMB209 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910 FMP100 FMP1M1 MSP500 FMC800 FMM800 FMC880 FMM880 FMM80A FMB150 FMC150 FMM150,Permanent I/O elements
622,Frequency DIN1,2,Unsigned,0,65535,0.1,Hz,Frequency of input signal present on DIN1,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMB208 FMB209 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910 FMP100 FMP1M1 MSP500 FMC800 FMM800 FMC880 FMM880 FMM80A FMB150 FMC150 FMM150,Permanent I/O elements
623,Frequency DIN2,2,Unsigned,0,65535,0.1,Hz,Frequency of input signal present on DIN2,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMB208 FMB209 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910 FMP100 FMP1M1 MSP500 FMC800 FMM800 FMC880 FMM880 FMM80A FMB150 FMC150 FMM150,Permanent I/O elements
1148,Connectivity quality,4,Unsigned,0,4294967295,,,"Connectivity Quality element which provides detailed signal quality information in LTE (only RSSI), eMTC and NB-IoT modes. https://wiki.teltonika-gps.com/view/Mobile_Signal_Strength_Recommendations#4G_(LTE)",FMBXXX [Expand] FMM130FMM230FMM920,Permanent I/O elements
155,Geofence zone 01,1,Unsigned,0,3,,,0 – target left zone 1 – target entered zone 2 – over speeding end 3 – over speeding start,FMBXXX FMB001 FMC001 FMB010 FMB002 FMB020 FMB003 FMB110 FMB120 FMB122 FMB125 FMU125 FMB140 FMB150 FMC150 FMM150 FMB900 FMB920 FMB962 FMB964 FM3001 FMB202 FMB204 FMB206 FMT100 MTB100 FMP100 MSP500 FMC800 FMM800 FMM80A,Eventual I/O elements
