Field Name,Field Path,Category,Priority,Field Type,Structure Type,JSON Structure,Data Type,Unit,Description,Computation Approach,Status,Version Added,WebSocket Contracts,REST API Endpoints,Dependencies,Notes
sensors_environment_battery,sensors.environment[].battery,sensors,T,prioritized,value_unit_object,"{""value"":""number"",""unit"":""%""}",object,%,Battery level of BLE environmental sensors. Measured in percentage.,"(BLE Battery #2), avl_io_22 (BLE Battery #3), avl_io_23 (BLE Battery #4), ble_battery_level_2 (BLE Battery 2), ble_battery_level_3 (BLE Battery 3), ble_battery_level_4 (BLE Battery 4)",active,1.0.0,,,,
sensors_environment_frequency,sensors.environment[].frequency,sensors,P3,prioritized,value_unit_object,"{""value"":""number"",""unit"":""Hz""}",object,Hz,Frequency readings from BLE sensors. Measured in Hz.,"(BLE Fuel Frequency #1), ble_frequency_1 (BLE Frequency 1), freq_1 (Frequency 1), freq_2 (Frequency 2)",active,1.0.0,,,,
sensors_magnet_value,sensors.magnet[].value,sensors,P1,prioritized,value_unit_object,"{""value"":""number"",""unit"":""state""}",object,state,"Magnetic field sensor readings. Value represents sensor state (typically 0 = no magnetic field detected, 1 = magnetic field detected). Used for door/window position detection or security applications.","(BLE Magnet Sensor 1), ble_magnet_sensor_2 (BLE Magnet Sensor 2), ble_magnet_sensor_3 (BLE Magnet Sensor 3)",active,1.0.0,,,,
sensors_inertial_pitch,sensors.inertial[].pitch,sensors,P1,direct,value_unit_object,"{""value"":""number"",""unit"":""\u00b0""}",object,\u00b0,Pitch angle from inertial sensors. Measured in degrees.,"(BLE Pitch 1), ble_pitch_2 (BLE Pitch 2)",active,1.0.0,,,,
sensors_inertial_roll,sensors.inertial[].roll,sensors,P1,direct,value_unit_object,"{""value"":""number"",""unit"":""\u00b0""}",object,\u00b0,Roll angle from inertial sensors. Measured in degrees.,"(BLE Roll 1), ble_roll_2 (BLE Roll 2)",active,1.0.0,,,,
sensors_custom_values,sensors.custom[].values[],sensors,P2,prioritized,array,"[{""value"":""number | string"",""unit"":""string""}]",array,string,Custom IO element values from BLE sensors. Can be numeric or string depending on sensor configuration.,"(BLE 1 Custom #1), avl_io_332 (BLE 2 Custom #1), avl_io_333 (BLE 3 Custom #1), avl_io_463 (BLE 1 Custom #2), avl_io_464 (BLE 1 Custom #3), avl_io_465 (BLE 1 Custom #4), avl_io_466 (BLE 1 Custom #5), avl_io_467 (BLE 2 Custom #2), avl_io_468 (BLE 2 Custom #3), avl_io_469 (BLE 2 Custom #4), avl_io_470 (BLE 2 Custom #5), avl_io_471 (BLE 3 Custom #2), avl_io_472 (BLE 3 Custom #3), avl_io_473 (BLE 3 Custom #4)",active,1.0.0,,,,
diagnostics_agricultural_area_harvested,diagnostics.agricultural.area_harvested,diagnostics,P2,direct,value_unit_object,"{""value"":""number"",""unit"":""m2""}",object,m2,Area of harvest in square meters,(Area of Harvest),active,1.0.0,,,,
diagnostics_agricultural_grain_moisture,diagnostics.agricultural.grain_moisture,diagnostics,P2,direct,value_unit_object,"{""value"":""number"",""unit"":""%""}",object,%,Grain moisture,(Grain Moisture),active,1.0.0,,,,
diagnostics_agricultural_grain_volume,diagnostics.agricultural.grain_volume,diagnostics,P2,direct,value_unit_object,"{""value"":""number"",""unit"":""kg""}",object,kg,Mown volume,(Grain Mown Volume),active,1.0.0,,,,
diagnostics_agricultural_harvest_duration,diagnostics.agricultural.harvest_duration,diagnostics,P2,direct,value_unit_object,"{""value"":""number"",""unit"":""s""}",object,s,Duration of harvesting activity (agricultural CAN signal).,(Harvest Duration),active,1.0.0,,,,
diagnostics_agricultural_harvesting_drum_gap,diagnostics.agricultural.harvesting_drum_gap,diagnostics,P2,direct,value_unit_object,"{""value"":""number"",""unit"":""mm""}",object,mm,Gap under harvesting drum,(Gap Under Harvesting Drum),active,1.0.0,,,,
diagnostics_agricultural_harvesting_drum_rpm,diagnostics.agricultural.harvesting_drum_rpm,diagnostics,P2,direct,value_unit_object,"{""value"":""number"",""unit"":""rpm""}",object,rpm,Harvesting drum rpm,(Harvesting Drum RPM),active,1.0.0,,,,
diagnostics_agricultural_mowing_efficiency,diagnostics.agricultural.mowing_efficiency,diagnostics,P2,direct,value_unit_object,"{""value"":""number"",""unit"":""m2/h""}",object,m2/h,Mowing efficiency,(Mowing Efficiency),active,1.0.0,,,,
diagnostics_axles_weights,diagnostics.axles.weights[],diagnostics,P2,prioritized,array,"[{""position"":""integer"",""value"":""number"",""unit"":""kg""}]",array,kg,Axle weight measurements. Each entry includes position (1-5) and weight in kg. Sources include CAN axle load signals and AVL IO parameters.,"(CAN Axle Load 1), can_axle_load_2 (CAN Axle Load 2), can_axle_load_3 (CAN Axle Load 3), can_axle_load_4 (CAN Axle Load 4), can_axle_load_5 (CAN Axle Load 5), avl_io_118 (Axle 1 Load), avl_io_119 (Axle 2 Load), avl_io_120 (Axle 3 Load), avl_io_121 (Axle 4 Load), avl_io_122 (Axle 5 Load)",active,1.0.0,,,,
diagnostics_body_belts_*,diagnostics.body.belts.*,diagnostics,P2,prioritized,simple_value,"""example""",string,,"Seatbelt fastening status for driver, passenger, and rear seats (left, right, centre). Values: 0 = not fastened, 1 = fastened.","(CAN Rear Centre Seat Belt State), can_rear_left_seat_belt_state (CAN Rear Left Seat Belt State), can_rear_right_seat_belt_state (CAN Rear Right Seat Belt State), can_seat_belt_driver_state (CAN Seat Belt Driver State), can_seat_belt_passenger_state (CAN Passenger Seat Belt State), avl_io_940 (CSF Driver's Seatbelt Fastened), avl_io_941 (CSF Front Driver's Seatbelt Fastened), avl_io_942 (CSF Left Driver's Seatbelt Fastened), avl_io_943 (CSF Right Driver's Seatbelt Fastened), avl_io_944 (CSF Centre Driver's Seatbelt Fastened)",active,1.0.0,,,,
diagnostics_body_doors_*,diagnostics.body.doors.*,diagnostics,P2,prioritized,simple_value,"""example""",string,,"Door/hatch/cover open/closed status. Includes front doors (left, right), rear doors (left, right), trunk, hood, roof, and engine cover. Values: 0 = closed, 1 = open.","(CAN Door State), can_front_left_door (CAN Front Left Door), can_front_right_door (CAN Front Right Door), can_hood_state (CAN Hood State), can_rear_left_door (CAN Rear Left Door), can_rear_right_door (CAN Rear Right Door), can_roof_state (CAN Roof State), can_trunk_state (CAN Trunk State), avl_io_90 (Door Status), avl_io_654 (SSF Front Left Door Open), avl_io_655 (SSF Front Right Door Open), avl_io_656 (SSF Rear Left Door Open), avl_io_657 (SSF Rear Right Door Open), avl_io_658 (SSF Trunk Door Open), avl_io_913 (SSF Engine Cover Open)",active,1.0.0,,,,
diagnostics_body_lights_*,diagnostics.body.lights.*,diagnostics,P3,prioritized,simple_value,"""example""",string,,"Vehicle lighting system status. Includes headlights (dipped, full beam), fog lights (front, rear, additional), parking lights, light signal, and lights failure indicator. Values: 0 = off, 1 = on.","(CAN Additional Front Fog Lights), can_additional_rear_lights (CAN Additional Rear Lights), can_dipped_headlights (CAN Dipped Headlights), can_front_fog_lights (CAN Front Fog Lights), can_full_beam_headlights (CAN Full Beam Headlights), can_light_signal (CAN Light Signal), can_lights_failure (CAN Lights Failure), can_parking_lights (CAN Parking Lights), can_rear_fog_lights (CAN Rear Fog Lights), avl_io_935 (CSF Light Signal)",active,1.0.0,,,,
diagnostics_brakes_abs_active,diagnostics.brakes.abs_active,diagnostics,P3,direct,simple_value,"""boolean""",string,,CAN ABS State,(CAN ABS State),active,1.0.0,,,,
diagnostics_brakes_pad_wear,diagnostics.brakes.pad_wear,diagnostics,P2,direct,value_unit_object,"{""value"":""number"",""unit"":""%""}",object,%,Brake pad wear level from CAN bus. Measured in percentage (0-100%). Indicates remaining brake pad thickness. Lower values indicate more wear.,(CAN Brake Pad Wear),active,1.0.0,,,,
diagnostics_brakes_parking_brake,diagnostics.brakes.parking_brake,diagnostics,P3,direct,simple_value,"""boolean""",string,,0 - Handbrake inactive 1 - Handbrake active,"(CAN Hand Brake), avl_io_653 (SSF Handbrake Is Active)",active,1.0.0,,,,
diagnostics_brakes_retarder_automatic,diagnostics.brakes.retarder_automatic,diagnostics,P2,direct,simple_value,"""boolean""",string,,CAN Automatic Retarder,(CAN Automatic Retarder),active,1.0.0,,,,
diagnostics_brakes_retarder_manual,diagnostics.brakes.retarder_manual,diagnostics,P2,direct,simple_value,"""boolean""",string,,CAN Manual Retarder,(CAN Manual Retarder),active,1.0.0,,,,
diagnostics_body_climate_air_conditioning,diagnostics.body.climate.air_conditioning,diagnostics,P2,direct,simple_value,"""boolean""",string,,0 - Off 1 - On,", avl_io_936 (CSF Air Conditioning)",active,1.0.0,,,,
diagnostics_drivetrain_central_differential_4hi_locked,diagnostics.drivetrain.central_differential_4hi_locked,diagnostics,P3,direct,simple_value,"""boolean""",string,,CAN Central Diff 4HI Locked,(CAN Central Diff 4HI Locked),active,1.0.0,,,,
diagnostics_drivetrain_central_differential_4lo_locked,diagnostics.drivetrain.central_differential_4lo_locked,diagnostics,P3,direct,simple_value,"""boolean""",string,,CAN Central Diff 4LO Locked,(CAN Central Diff 4LO Locked),active,1.0.0,,,,
diagnostics_drivetrain_clutch_state,diagnostics.drivetrain.clutch_state,diagnostics,P3,direct,simple_value,"""boolean""",string,,CAN Clutch State,(CAN Clutch State),active,1.0.0,,,,
diagnostics_drivetrain_cruise_control_active,diagnostics.drivetrain.cruise_control_active,diagnostics,P2,direct,simple_value,"""boolean""",string,,CAN Cruise Control,(CAN Cruise Control),active,1.0.0,,,,
diagnostics_drivetrain_front_differential_locked,diagnostics.drivetrain.front_differential_locked,diagnostics,P3,direct,simple_value,"""boolean""",string,,0 - Unlocked 1 - Locked,"(CAN Front Diff Locked), avl_io_947 (CSF Front Differential Locked)",active,1.0.0,,,,
diagnostics_drivetrain_rear_differential_locked,diagnostics.drivetrain.rear_differential_locked,diagnostics,P3,direct,simple_value,"""boolean""",string,,0 - Unlocked 1 - Locked,"(CAN Rear Diff Locked), avl_io_948 (CSF Rear Differential Locked)",active,1.0.0,,,,
diagnostics_engine_running_value,diagnostics.engine.running.value,diagnostics,BL,direct,simple_value,"""boolean""",string,,Engine actually running (motor state). Note: This is diagnostic data; may differ from `power.ignition` if ignition cable is not connected to motor level.,(SSF Engine Working),active,1.0.0,,,power.ignition,
diagnostics_engine_running_last_changed_at,diagnostics.engine.running.last_changed_at,diagnostics,BL,calculated,simple_value,"""number""",string,,"Unix Epoch timestamp (milliseconds, number) when `diagnostics.engine.running.value` last changed. Used to calculate true engine running duration (vs ignition on), important for fuel consumption and maintenance tracking.",Backend compares current running.value with previous,active,1.0.0,,,"diagnostics.engine.running.value, running.value",
diagnostics_engine_coolant_temperature,diagnostics.engine.coolant_temperature,diagnostics,P2,direct,value_unit_object,"{""value"":""number"",""unit"":""\u00b0C""}",object,\u00b0C,Engine coolant temperature from cooling system. Measured in degrees Celsius (°C).,(CAN Coolant Temp or Level),active,1.0.0,,,,
diagnostics_engine_glow_plug_active,diagnostics.engine.glow_plug_active,diagnostics,P2,direct,simple_value,"""boolean""",string,,CAN Glow Plug Indicator,(CAN Glow Plug Indicator),active,1.0.0,,,,
diagnostics_engine_load,diagnostics.engine.load,diagnostics,P2,direct,value_unit_object,"{""value"":""number"",""unit"":""%""}",object,%,Engine Load,"(CAN Engine Load), avl_io_114 (Engine Load)",active,1.0.0,,,,
diagnostics_engine_pto_state,diagnostics.engine.pto_state,diagnostics,P2,direct,simple_value,"""boolean""",string,,CAN PTO State,(CAN PTO State),active,1.0.0,,,,
diagnostics_engine_ready_to_drive,diagnostics.engine.ready_to_drive,diagnostics,P3,direct,simple_value,"""boolean""",string,,CAN Ready to Drive. Present on EV/hybrid and some modern ICE vehicles.,"(CAN Ready to Drive), avl_io_902 (SSF Ready To Drive)",active,1.0.0,,,,
diagnostics_engine_rpm,diagnostics.engine.rpm,diagnostics,P2,prioritized,value_unit_object,"{""value"":""number"",""unit"":""rpm""}",object,rpm,Engine RPM,"(CAN Engine RPM), obd_rpm (OBD RPM), avl_io_36 (Engine RPM), avl_io_85 (Engine RPM)",active,1.0.0,,,,
diagnostics_engine_start_stop_inactive,diagnostics.engine.start_stop_inactive,diagnostics,P3,direct,simple_value,"""boolean""",string,,0 - No 1 - Yes,(CSF Start Stop System Inactive),active,1.0.0,,,,
diagnostics_engine_temperature,diagnostics.engine.temperature,diagnostics,P2,direct,value_unit_object,"{""value"":""number"",""unit"":""\u00b0C""}",object,\u00b0C,Engine Temperature,"(CAN Engine Temp), avl_io_115 (Engine Temperature)",active,1.0.0,,,,
diagnostics_engine_webasto_state,diagnostics.engine.webasto_state,diagnostics,P2,direct,simple_value,"""boolean""",string,,CAN Webasto State,(CAN Webasto State),active,1.0.0,,,,
diagnostics_fluids_adblue_level,diagnostics.fluids.adblue_level,diagnostics,P1,prioritized,value_unit_object,"{""value"":""number"",""unit"":""l | %""}",object,l | %,AdBlue/DEF fluid level. May be reported in liters or percentage depending on source.,"(CAN AdBlue Level), avl_io_111 (AdBlue Level), avl_io_112 (AdBlue Level)",active,1.0.0,,,,
diagnostics_fluids_oil_pressure,diagnostics.fluids.oil.pressure,diagnostics,P2,direct,value_unit_object,"{""value"":""number"",""unit"":""kPa | psi""}",object,kPa | psi,Engine oil pressure. Measured in kPa or psi depending on source.,(CAN Oil Pressure or Level),active,1.0.0,,,,
diagnostics_health_low_oil_warning,diagnostics.health.low_oil_warning,diagnostics,P1,direct,simple_value,"""boolean""",string,,"Low engine oil level warning indicator. Values: 0 = normal, 1 = low oil warning.",(Oil Level),active,1.0.0,,,,
diagnostics_health_battery_not_charging,diagnostics.health.battery_not_charging,diagnostics,P1,direct,simple_value,"""boolean""",string,,"Battery not charging warning indicator. Values: 0 = off, 1 = on. Indicates that the low-voltage system battery is not being charged (alternator/DC-DC issue).",(ISF Battery Not Charging Indicator),active,1.0.0,,,,
diagnostics_health_can_warning,diagnostics.health.can_warning,diagnostics,P1,direct,simple_value,"""boolean""",string,,"CAN bus warning indicator. Values: 0 = no warning, 1 = warning present. Indicates general CAN bus communication or system warnings detected by the vehicle's diagnostic system. Read from CAN bus.",(CAN Warning),active,1.0.0,,,,
diagnostics_health_dtc_count,diagnostics.health.dtc_count,diagnostics,P1,aggregated,simple_value,"""integer""",string,,Number of DTC,"(OBD DTC Count), avl_io_30 (Number of DTC)",active,1.0.0,,,,
diagnostics_health_electronics_power_control,diagnostics.health.electronics_power_control,diagnostics,?,direct,simple_value,"""boolean""",string,,"Electronics power control state from CAN bus. Values: 0 = normal operation, 1 = power control active. Indicates power management system status (e.g., power saving mode, normal operation, reduced power mode). Interpretation depends on vehicle manufacturer and model.",(CAN Electronics Power Control),active,1.0.0,,,,
diagnostics_health_low_fuel_warning,diagnostics.health.low_fuel_warning,diagnostics,P1,direct,simple_value,"""boolean""",string,,"Low fuel warning indicator from CAN bus. Values: 0 = normal, 1 = low fuel warning.",(CAN Low Fuel),active,1.0.0,,,,
diagnostics_health_low_tire_pressure_warning,diagnostics.health.low_tire_pressure_warning,diagnostics,P1,direct,simple_value,"""boolean""",string,,0 - Off 1 - On,", avl_io_966 (ISF Low Tire Pressure Indicator)",active,1.0.0,,,,
diagnostics_health_mil_activated_distance,diagnostics.health.mil_activated_distance,diagnostics,P1,direct,value_unit_object,"{""value"":""number"",""unit"":""km""}",object,km,Distance traveled with MIL (Malfunction Indicator Lamp) activated. Measured in kilometers (km). Indicates how far the vehicle has traveled since the MIL was triggered.,"(OBD MIL Activated Distance), avl_io_43 (Distance Traveled MIL On)",active,1.0.0,,,,
diagnostics_health_mil_status,diagnostics.health.mil_status,diagnostics,P1,aggregated,simple_value,"""integer""",string,,"Malfunction Indicator Lamp (MIL) status from OBD. Values depend on OBD protocol version. Typically: 0 = MIL off (no faults), 1 = MIL on (fault detected). Related to DTC count (`diagnostics.health.dtc_count`). When MIL is on, diagnostic trouble codes are present and should be checked.",(OBD MIL Status),active,1.0.0,,,diagnostics.health.dtc_count,
diagnostics_engine_key_inserted,diagnostics.engine.key_inserted,diagnostics,P3,direct,simple_value,"""boolean""",string,,0 - No key in lock 1 - Key in lock,(SSF KeyInIgnitionLock),active,1.0.0,,,,
diagnostics_body_occupancy_front_passenger,diagnostics.body.occupancy.front_passenger,diagnostics,P2,direct,simple_value,"""boolean""",string,,0 - Not present 1 - Present,"(CAN Front Passenger Presence), avl_io_945 (CSF Front Passenger Present)",active,1.0.0,,,,
diagnostics_body_safety_airbag_state,diagnostics.body.safety.airbag_state,diagnostics,P2,direct,simple_value,"""boolean""",string,,"Airbag system state from CAN bus. Values: 0 = airbag system inactive/normal, 1 = airbag system active/warning. Indicates airbag system status and potential safety issues.",(CAN Airbag State),active,1.0.0,,,,
diagnostics_systems_steering_eps_state,diagnostics.systems.steering.eps_state,diagnostics,P2,direct,simple_value,"""boolean""",string,,"Electric Power Steering (EPS) system state. Values: 0 = inactive/normal, 1 = active/warning. Indicates EPS system operational status. When active, the EPS system is engaged and assisting steering. Warning state may indicate system faults or reduced assistance. Read from CAN bus.",(EPS State),active,1.0.0,,,,
diagnostics_systems_trailer_axle_lift_active,diagnostics.systems.trailer.axle_lift_active[],diagnostics,P1,direct,array,"[{ ""value"": 85, ""unit"": ""%"" }]",array,%,"Trailer axle lift active status. Array of boolean values, one per trailer axle. Values: false = axle down (normal position), true = axle lifted. Used for load distribution control and to reduce wear on specific axles when trailer is empty or lightly loaded. Read from CAN bus.","(CAN Trailer Axle Lift Active 1), can_trailer_axle_lift_active_2 (CAN Trailer Axle Lift Active 2)",active,1.0.0,,,,
diagnostics_agricultural_state_flags,diagnostics.agricultural.state_flags,diagnostics,P1,direct,simple_value,"""integer | hex""",string,,Agricultural machinery state flags (bitmask). Encodes various agricultural equipment states. Format: integer or hex depending on source.,"(Agricultural Machinery Flags), avl_io_520 (Agricultural State Flags P4)",active,1.0.0,,,,
diagnostics_body_indicators_state_flags,diagnostics.body.indicators.state_flags,diagnostics,P1,direct,simple_value,"""integer | hex""",string,,"Vehicle indicator state flags (bitmask, Protocol 4). Encodes various indicator states (e.g. turn indicators, warning lamps). Format: integer or hex.",(Indicator State Flags P4),active,1.0.0,,,,
diagnostics_body_indicators_cistern_state_flags,diagnostics.body.indicators.cistern_state_flags,diagnostics,P2,transformed,simple_value,"""integer | hex""",string,,"Cistern/tank state flags (bitmask, Protocol 4). Encodes cistern-related equipment states. Format: integer or hex.",(Cistern State Flags P4),active,1.0.0,,,,
diagnostics_systems_control_state_flags,diagnostics.systems.control.state_flags,diagnostics,P2,direct,simple_value,"""integer | hex""",string,,Vehicle control system state flags (bitmask). Encodes control system states. Format: integer or hex depending on source.,"(Control State Flags), avl_io_518 (Control State Flags P4)",active,1.0.0,,,,
diagnostics_security_state_flags,diagnostics.security.state_flags,diagnostics,P2,direct,simple_value,"""integer | hex""",string,,Security system state flags (bitmask). Encodes security-related states. Format: integer or hex depending on source.,"(Security State Flags), avl_io_517 (Security State Flags P4)",active,1.0.0,,,,
diagnostics_security_immobilizer_engine_lock_active,diagnostics.security.immobilizer.engine_lock_active,diagnostics,P2,direct,simple_value,"""boolean""",string,,"Engine lock active status. Values: 0 = inactive, 1 = active. Indicates whether the engine is currently locked by the immobilizer system. Used for immobilization status computation.",(SSF Engine Lock Active),active,1.0.0,,,,
diagnostics_security_immobilizer_request_lock_engine,diagnostics.security.immobilizer.request_lock_engine,diagnostics,P2,direct,simple_value,"""boolean""",string,,"Request to lock engine status. Values: 0 = off, 1 = on. Indicates a request/command to lock the engine has been sent. Used for immobilization status computation.",(SSF Request To Lock Engine),active,1.0.0,,,,
diagnostics_systems_utility_state_flags,diagnostics.systems.utility.state_flags,diagnostics,P2,direct,simple_value,"""integer | hex""",string,,"Utility vehicle/equipment state flags (bitmask, Protocol 4). Encodes utility equipment states. Format: integer or hex.",(Utility State Flags P4),active,1.0.0,,,,
io_inputs_individual_input_1,io.inputs.individual.input_1,io,BL,transformed,simple_value,"""boolean""",string,,"Digital input 1 state. Values: 0 = low/inactive, 1 = high/active. Semantic meaning (e.g., ignition, door sensor) is defined in `asset.installation.*` metadata. Used to compute canonical fields like `power.ignition`. If only bitmask is available, transformation pipeline extracts bit 0.","(Digital Input 1), din (Digital Inputs Bitmask, bit 0)",active,1.0.0,,,power.ignition,
io_inputs_individual_input_2,io.inputs.individual.input_2,io,BL,transformed,simple_value,"""boolean""",string,,"Digital input 2 state. Values: 0 = low/inactive, 1 = high/active. Semantic meaning defined in installation metadata. If only bitmask is available, transformation pipeline extracts bit 1.","(Digital Input 2), din (Digital Inputs Bitmask, bit 1)",active,1.0.0,,,,
io_inputs_individual_input_3,io.inputs.individual.input_3,io,BL,transformed,simple_value,"""boolean""",string,,"Digital input 3 state. Values: 0 = low/inactive, 1 = high/active. Semantic meaning defined in installation metadata. If only bitmask is available, transformation pipeline extracts bit 2.","(Digital Input 3), din (Digital Inputs Bitmask, bit 2)",active,1.0.0,,,,
io_inputs_individual_input_4,io.inputs.individual.input_4,io,BL,transformed,simple_value,"""boolean""",string,,"Digital input 4 state (also functions as pulse counter). Values: 0 = low/inactive, 1 = high/active. Pulse count resets when records are saved. Semantic meaning defined in installation metadata. If only bitmask is available, transformation pipeline extracts bit 3.","(Pulse Counter Din1), din (Digital Inputs Bitmask, bit 3)",active,1.0.0,,,,
io_outputs_individual_output_1,io.outputs.individual.output_1,io,BL,transformed,simple_value,"""boolean""",string,,"Digital output 1 state. Values: 0 = inactive, 1 = active. Semantic meaning (e.g., immobilizer relay) is defined in `asset.installation.*` metadata. Used for immobilization control and status computation. If only bitmask is available, transformation pipeline extracts bit 0.","(Digital Output 1), outputs (Output Status Bitmask, bit 0)",active,1.0.0,,,,
io_outputs_individual_output_2,io.outputs.individual.output_2,io,BL,transformed,simple_value,"""boolean""",string,,"Digital output 2 state. Values: 0 = inactive, 1 = active. Semantic meaning defined in installation metadata. If only bitmask is available, transformation pipeline extracts bit 1.","(Digital Output 2), outputs (Output Status Bitmask, bit 1)",active,1.0.0,,,,
io_outputs_individual_output_3,io.outputs.individual.output_3,io,BL,transformed,simple_value,"""boolean""",string,,"Digital output 3 state. Values: 0 = inactive, 1 = active. Semantic meaning defined in installation metadata. If only bitmask is available, transformation pipeline extracts bit 2.","(Digital Output 3), outputs (Output Status Bitmask, bit 2)",active,1.0.0,,,,
io_analog_input_1,io.analog.input_1,io,BL,transformed,value_unit_object,"{""value"":""number"",""unit"":""V""}",object,V,"Analog input 1 voltage reading. Measured in volts (V). Prefer `avl_io_9` over generic `adc` when available. Semantic meaning (e.g., fuel level sensor, temperature probe) is defined in installation metadata. Used to compute canonical sensor/fluid fields.","(Analog Input 1), adc (analog)",active,1.0.0,,,,
io_analog_input_2,io.analog.input_2,io,BL,transformed,value_unit_object,"{""value"":""number"",""unit"":""V""}",object,V,Analog input 2 voltage reading. Measured in volts (V). Prefer `avl_io_6` over generic `adc` when available. Semantic meaning defined in installation metadata. Used to compute canonical sensor/fluid fields.,"(Analog Input 2), adc (analog)",active,1.0.0,,,,
driver_id_value,driver.id.value,driver,P1,calculated,simple_value,"""string | null""",string,,Fleeti driver ID from catalog. `null` if hardware key is not found in catalog (unknown driver).,Lookup hardware_key.value in Fleeti driver catalog,active,1.0.0,,,hardware_key.value,
driver_id_last_changed_at,driver.id.last_changed_at,driver,P1,calculated,simple_value,"""number""",string,,"Unix Epoch timestamp (milliseconds, number) when `driver.id.value` last changed. Used to show driver-vehicle association timeline and determine which driver was responsible at time of events.",Backend compares current id.value with previous,active,1.0.0,,,"driver.id.value, id.value",
driver_name,driver.name,driver,P1,calculated,simple_value,"""string | null""",string,,Driver name from catalog. `null` if hardware key is not found in catalog (unknown driver).,Lookup hardware_key.value in Fleeti driver catalog,active,1.0.0,,,hardware_key.value,
driver_privacy_mode_value,driver.privacy_mode.value,driver,P1,direct,simple_value,"""boolean""",string,,"Private mode state. Values: 0 = Private mode off, 1 = Private mode on. Driver setting that indicates whether the driver has activated private/work mode.",(Private mode),active,1.0.0,,,,
driver_privacy_mode_last_changed_at,driver.privacy_mode.last_changed_at,driver,P1,calculated,simple_value,"""number""",string,,"Unix Epoch timestamp (milliseconds, number) when `driver.privacy_mode.value` last changed. Used to show ""private mode active since X"" and separate private vs business time in reports.",Backend compares current privacy_mode.value with previous,active,1.0.0,,,"driver.privacy_mode.value, privacy_mode.value",
driver_authorization_state,driver.authorization.state,driver,T,direct,simple_value,"""integer (0-2)""",string,,"iButton connection status in immobilizer context. Values: 0 = iButton not connected, 1 = iButton connected (Immobilizer active), 2 = iButton connected (Authorized Driving). Note: Field name is ""Immobilizer"" but represents iButton authorization state.",(Immobilizer),active,1.0.0,,,,
driver_hardware_key_value,driver.hardware_key.value,driver,BL,asset_integrated,simple_value,"""string""",string,,Hardware key identifier as hex string. Can be iButton or RFID code. Backend determines key type based on device model and signal characteristics. Used to lookup driver in Fleeti catalog.,"(iButton), avl_io_207 (RFID), ibutton (iButton ID)",active,1.0.0,,,,
driver_hardware_key_extended_id,driver.hardware_key.extended_id,driver,?,direct,simple_value,"""string | null""",string,,MAC address of NMEA receiver device connected via Bluetooth. Usefulness for driver identification is still being evaluated (TBD). May be `null` if not available.,(User ID),active,1.0.0,,,,TBD - To Be Determined
device_battery_current,device.battery.current,device,T,direct,value_unit_object,"{""value"":""number"",""unit"":""A""}",object,A,Device internal battery current. Measured in amperes (A).,"(Battery Current), battery_current (Battery Current)",active,1.0.0,,,,
device_battery_level,device.battery.level,device,T,direct,value_unit_object,"{""value"":""number"",""unit"":""%""}",object,%,Device internal battery capacity level. Measured in percentage (0-100%).,"(Battery Level), battery_level (Battery Level)",active,1.0.0,,,,
device_battery_voltage,device.battery.voltage,device,T,direct,value_unit_object,"{""value"":""number"",""unit"":""V""}",object,V,Device internal battery voltage. Measured in volts (V).,"(Battery Voltage), battery_voltage (Battery Voltage)",active,1.0.0,,,,
device_bluetooth_status,device.bluetooth.status,device,P3,direct,simple_value,"""integer (0-4)""",string,,"Bluetooth connection status. Values: 0 = BT disabled, 1 = BT enabled (no device connected), 2 = Device connected (BTv3 only), 3 = Device connected (BLE only), 4 = Device connected (BLE + BT).",(BT Status),active,1.0.0,,,,
device_power_board_voltage,device.power.board_voltage,device,T,direct,value_unit_object,"{""value"":""number"",""unit"":""V""}",object,V,External power supply voltage from board voltage reading. Measured in volts (V).,(External Voltage),active,1.0.0,,,,
device_power_connected,device.power.connected,device,T,direct,simple_value,"""boolean""",string,,"External power supply connection status. Values: false = not connected, true = connected.",(External Power),active,1.0.0,,,,
device_power_external_voltage,device.power.external_voltage,device,T,direct,value_unit_object,"{""value"":""number"",""unit"":""V""}",object,V,External power supply voltage from AVL IO parameter. Measured in volts (V). Note: May represent the same measurement as `board_voltage` but from a different source.,(External Voltage),active,1.0.0,,,,
device_sleep_mode,device.sleep_mode,device,T,direct,simple_value,"""integer (0-4)""",string,,"Device sleep mode status. Values: 0 = No sleep, 1 = GPS sleep, 2 = Deep sleep, 3 = Online sleep, 4 = Ultra sleep.",(Sleep Mode),active,1.0.0,,,,
device_status_bitmap,device.status_bitmap,device,T,direct,simple_value,"""integer""",string,,Device status bitmap. Contains device status flags and state information encoded as integer bits. Specific bit meanings depend on device model and firmware version.,(Status),active,1.0.0,,,,
device_firmware_version,device.firmware.version,device,T,direct,simple_value,"""integer""",string,,Device firmware version identifier. Also represents CAN program/profile ID used by LV-CAN/ALL-CAN adapters to decode vehicle signals.,(Program Number),active,1.0.0,,,,
device_identification_module_id_17b,device.identification.module_id_17b,device,T,direct,simple_value,"""string""",string,,"Device module identifier (17 bytes, hex string). Unique device hardware identifier.",(Module ID 17B),active,1.0.0,,,,
device_identification_module_id_8b,device.identification.module_id_8b,device,T,direct,simple_value,"""string""",string,,"Device module identifier (8 bytes, hex string). Unique device hardware identifier.",(Module ID 8B),active,1.0.0,,,,
